Word,Definition
ERP ,"Enterprise Resource Planning. ERP is defined as the ability to deliver an integrated suite of business applications. ERP tools share a common process and data model, covering broad and deep operational end-to-end processes, such as those found in finance, HR, distribution, manufacturing, service, and the supply chain."
EQT ,"Swedish private equity firm, Karo’s majority owner."
ESG ,"Environmental, Social and Corporate Governance."
EU QPPV,Qualified Person responsible for Pharmacovigilance in the EEA
FPP ,Full Potential Plan. 
FTE ,Full-Time Employee.
???????FSCA , Field Safety Corrective Action.
???????GDP , Good Distribution Practice.
GDPR , General Data Protection Regulation.
GP ,General Practitioner.
GPO , Graduated Plan Officer.
GMP , Good Manufacturing Practice.
??GTN ,Gross To Net.
Guild ,"The guilds connect Karo’ites that work within similar professions/trades. Karo’s collection of guilds – in Operations, Finance, People, Regulatory and Quality form Karo’s scalable platform. The guilds set the standards and drive for efficiency across Karo owning day-to-day processes, systems and operations."
GVP , Good Pharmacovigilance Practices.
GYN ,Gynecologist.
HCP ,Health Care Professional.
HRM ,Human Resource Management.
ICSR , Individual Case Safety Report
IFS ,our ERP system.
ITB ,International Trade Business.
JM ,Joint Marketing. A JM agreement is a legal contract used to govern instances where two or more companies collaborate on marketing and promotional efforts.
Karo’ite ,Person working at Karo.
KPAB ,Karo Pharma Sweden
KPI ,Key Performance Indicator.
KPSE ,Karo Pharma Sweden.
LPV , Local Contact Person for Pharmacovigilance.
???????LY ,Last Year.
MA,Marketing Authorisation.
M&A ,Mergers and Acquisition.
???????MAH , Manufacturing Authorisation Holder.
???????MAT ,Moving Annual Total.
???????MAT ,Marketing Authorisation.
MD , Medical doctor
MFA ,Multi-Factor Authentication. (also called 2FA) is an electronic authentication method in which a device user is granted access to a website or application only after successfully presenting two or more pieces of evidence (or factors) to an authentication mechanism. MFA protects the user from an unknown person trying to access their data such as personal ID details or financial assets.
NRI ,"Non-Recurrent Items. In accounting, an NRI is an infrequent or abnormal gain or loss that is reported in the company's financial statements."
NPS ,"Net Promoter Score. With NPS we measure customer experience, and it can predict business growth."
O2O ,Offline-to-Omnichannel
OOS ,Out Of Stock.
OTC ,Over-The-Counter. OTC are products sold directly to a consumer without a requirement for a prescription from a healthcare professional.
ORG ,Organisation.
PDP ,People Development Process.
PL , Package Leaflet.
P&L ,"Profit & Loss statement (Income statement). A financial statement that summarizes the revenues, costs, and expenses incurred during a specified period, usually a fiscal quarter or year."
Polo , M&A project name for the acquisition of the Proct & Ultra portfolios.
PSMF , Pharmacovigilance System Master File.
PV , Pharmacovigilance.
PVA , Pharmacovigilance Agreement.
PV team , Pharmacovigilance team.
PY ,Previous Year.
RAQA , Regulatory & quality department.
Roadster ,"M&A project name, for the acquisition of the TEVA portfolio, containing Flux."
RP ,Responsible Person.
Ruffian ,"M&A project name, getting the remaining rights of Pevaryl from J&J."
Rx ,Prescription drugs. Products that legally require a medical prescription from a healthcare professional to be dispensed.
QA ,Quality Assurance. QA is a way of preventing mistakes and defects in manufactured products and avoiding problems when delivering products to customers.
QP , Qualified Person. 
SEA ,Search-Engine-Advertising refers to a form of paid marketing that helps businesses get their ads in front of searchers by paying to have their ad copy at the top of search results.
SEM ,"Search Engine Marketing is the practice of marketing a business using paid advertisements that appear on search engine results pages (or SERPs), like Google."
SMART ,"Specific, Measurable, Attainable, Relevant, Time-bound."
???????SmPC, Summary of Product information. 
SO99 ,"Service Optimizer 99+, software that automates and optimizes supply chain planning tasks including demand forecasting and sensing, multi-echelon inventory optimization, replenishment,  and S&OP to meet target service levels."
SoMe ," Social Media, such as Facebook and Instagram."
Squad ,A squad is a cross-functional team that is responsible for a brand or a category.
Tribe , The tribes organize Karo’s go-to-market channels and drive Karo best practices across brands and categories. They are responsible for execution and activation of the brands in the marketplace.
WIP , Work In Progress.
UK QPPV ,  Qualified Person responsible for Pharmacovigilance in the UK.
YM ,YouMedical BV. 
???????YTD ,Year To Date.
???????YTG ,Year To Go.
Zuba ,"M&A project name, acquisition of Leo product portfolio (Selexid, Locobase, Burinex, Kaleorid, and Centyl)."
